,period_begin,occupancy,age_median,airport_distance,airport_volume,railroad_distance,asset_value_momentum,rank_desirability,rank_fiscal_health_tax,CPI,Inflation,Avg_household_size,Median_household_income,Employment_in_industry,Employment_in_services,Employment_in_agriculture,Labor_force_participation_rate,Real_GDP_per_capita,Real_GDP_per_worker,Prop_GVA_industries,Prop_GVA_construction,Male_15_64,Female_15_64,Prop_further_educ,Pop_growth,Real_GDP_growth,Unemp_growth,remote_work_share,State,City,Property_Type
2441,2022-12-31,0.88605529,36.85323312,13.90705435,2310655856.0,6.09892481,-0.08941019,4.0,28.0,140.36,8.36,2.75,78246.5,11.58,88.01,0.39,62.6,51807.37,132869.85,38.19,5.9,1.23,1.3,66.01,1.39,2.83,-31.29,18.02,AZ,Phoenix,Mall
2442,2023-01-31,0.89676906,37.1536972,13.90705435,2310655856.0,6.09892481,-0.0827874,4.0,28.0,146.77,4.56,2.75,80675.71,11.47,88.13,0.39,62.84,52691.89,135642.34,38.31,5.91,1.09,1.15,66.25,1.23,2.96,19.83,17.65,AZ,Phoenix,Mall
2443,2023-02-28,0.9428703,37.1536972,13.85020971,1950849561.0,6.01376257,-0.07984202,10.0,33.0,146.77,4.56,2.75,80675.71,11.47,88.13,0.39,62.84,52691.89,135642.34,38.31,5.91,1.09,1.15,66.25,1.23,2.96,19.83,17.93,AZ,Phoenix,Mall
2444,2023-03-31,0.9428703,37.1536972,13.85020971,1950849561.0,6.01376257,-0.07984202,10.0,33.0,146.77,4.56,2.75,80675.71,11.47,88.13,0.39,62.84,52691.89,135642.34,38.31,5.91,1.09,1.15,66.25,1.23,2.96,19.83,15.8,AZ,Phoenix,Mall
2445,2023-04-30,0.94179339,37.1536972,13.85020971,1950849561.0,6.01376257,-0.13431845,10.0,33.0,146.77,4.56,2.75,80675.71,11.47,88.13,0.39,62.84,52691.89,135642.34,38.31,5.91,1.09,1.15,66.25,1.23,2.96,19.83,15.73,AZ,Phoenix,Mall
2446,2023-05-31,0.94179339,37.1536972,13.85020971,1950849561.0,6.01376257,-0.13431845,10.0,33.0,146.77,4.56,2.75,80675.71,11.47,88.13,0.39,62.84,52691.89,135642.34,38.31,5.91,1.09,1.15,66.25,1.23,2.96,19.83,14.71,AZ,Phoenix,Mall
2447,2023-06-30,0.94179339,37.1536972,13.85020971,1950849561.0,6.01376257,-0.13431845,10.0,33.0,146.77,4.56,2.75,80675.71,11.47,88.13,0.39,62.84,52691.89,135642.34,38.31,5.91,1.09,1.15,66.25,1.23,2.96,19.83,14.98,AZ,Phoenix,Mall
2448,2023-07-31,0.94179339,37.19126655,13.85020971,1950849561.0,6.01376257,-0.04087887,10.0,33.0,146.77,4.56,2.75,80675.71,11.47,88.13,0.39,62.84,52691.89,135642.34,38.31,5.91,1.09,1.15,66.25,1.23,2.96,19.83,13.75,AZ,Phoenix,Mall
2449,2023-08-31,0.94179332,37.19126655,13.85020971,1950849561.0,6.01376257,-0.04224225,2.0,30.0,146.77,4.56,2.75,80675.71,11.47,88.13,0.39,62.84,52691.89,135642.34,38.31,5.91,1.09,1.15,66.25,1.23,2.96,19.83,14.35,AZ,Phoenix,Mall
2450,2019-01-31,0.89596096,36.51884527,13.52685908,1871809929.0,4.75289667,0.09714133,17.0,33.0,120.88,2.91,2.8,67896.0,11.98,87.6,0.41,62.61,49123.79,126915.79,37.62,5.84,1.49,1.58,64.98,1.71,4.3,0.0,5.73,AZ,Phoenix,Industrial
2451,2019-02-28,0.89874665,36.51884527,13.52685908,1871809929.0,4.75289667,0.09714133,17.0,25.0,120.88,2.91,2.8,67896.0,11.98,87.6,0.41,62.61,49123.79,126915.79,37.62,5.84,1.49,1.58,64.98,1.71,4.3,0.0,5.24,AZ,Phoenix,Industrial
2452,2019-03-31,0.89874665,36.51884527,13.60660553,1871809929.0,4.75545032,0.09714133,17.0,25.0,120.88,2.91,2.8,67896.0,11.98,87.6,0.41,62.61,49123.79,126915.79,37.62,5.84,1.49,1.58,64.98,1.71,4.3,0.0,4.92,AZ,Phoenix,Industrial
2453,2019-04-30,0.90078978,36.51884527,13.60660553,1871809929.0,4.75545032,0.10916123,17.0,25.0,120.88,2.91,2.8,67896.0,11.98,87.6,0.41,62.61,49123.79,126915.79,37.62,5.84,1.49,1.58,64.98,1.71,4.3,0.0,5.48,AZ,Phoenix,Industrial
2454,2019-05-31,0.90078978,36.51884527,13.60660553,1871809929.0,4.75545032,0.10916123,17.0,25.0,120.88,2.91,2.8,67896.0,11.98,87.6,0.41,62.61,49123.79,126915.79,37.62,5.84,1.49,1.58,64.98,1.71,4.3,0.0,5.88,AZ,Phoenix,Industrial
2455,2019-06-30,0.90117197,36.51884527,13.60660553,1871809929.0,4.75545032,0.0920926,17.0,25.0,120.88,2.91,2.8,67896.0,11.98,87.6,0.41,62.61,49123.79,126915.79,37.62,5.84,1.49,1.58,64.98,1.71,4.3,0.0,5.27,AZ,Phoenix,Industrial
2456,2019-07-31,0.90117197,36.51884527,13.60660553,1871809929.0,4.75545032,0.0920926,17.0,25.0,120.88,2.91,2.8,67896.0,11.98,87.6,0.41,62.61,49123.79,126915.79,37.62,5.84,1.49,1.58,64.98,1.71,4.3,0.0,4.7,AZ,Phoenix,Industrial
2457,2019-08-31,0.90200988,36.4081904,13.61908234,2054989426.0,4.751758,0.1050983,11.0,22.0,120.88,2.91,2.8,67896.0,11.98,87.6,0.41,62.61,49123.79,126915.79,37.62,5.84,1.49,1.58,64.98,1.71,4.3,0.0,4.77,AZ,Phoenix,Industrial
2458,2019-09-30,0.90200988,36.4081904,13.61908234,2054989426.0,4.751758,0.1050983,11.0,22.0,120.88,2.91,2.8,67896.0,11.98,87.6,0.41,62.61,49123.79,126915.79,37.62,5.84,1.49,1.58,64.98,1.71,4.3,0.0,6.13,AZ,Phoenix,Industrial
2459,2019-10-31,0.90200994,36.4081904,13.61908234,2054989426.0,4.751758,0.12431543,11.0,22.0,120.88,2.91,2.8,67896.0,11.98,87.6,0.41,62.61,49123.79,126915.79,37.62,5.84,1.49,1.58,64.98,1.71,4.3,0.0,5.3,AZ,Phoenix,Industrial
2460,2019-11-30,0.90200994,36.4081904,13.61908234,2054989426.0,4.751758,0.12431543,11.0,22.0,120.88,2.91,2.8,67896.0,11.98,87.6,0.41,62.61,49123.79,126915.79,37.62,5.84,1.49,1.58,64.98,1.71,4.3,0.0,5.31,AZ,Phoenix,Industrial
2461,2019-12-31,0.90200994,36.4081904,13.61908234,2054989426.0,4.751758,0.12431543,11.0,22.0,120.88,2.91,2.8,67896.0,11.98,87.6,0.41,62.61,49123.79,126915.79,37.62,5.84,1.49,1.58,64.98,1.71,4.3,0.0,5.26,AZ,Phoenix,Industrial
2462,2020-01-31,0.90200994,36.4081904,13.61908234,2054989426.0,4.751758,0.15473999,11.0,22.0,123.25,1.96,2.78,71281.07,11.83,87.75,0.4,62.5,48627.22,130113.57,37.89,5.87,1.63,1.71,65.39,1.82,0.8,71.42,4.98,AZ,Phoenix,Industrial
2463,2020-02-29,0.90645991,36.4081904,13.61908234,2054989426.0,4.751758,0.17524349,11.0,22.0,123.25,1.96,2.78,71281.07,11.83,87.75,0.4,62.5,48627.22,130113.57,37.89,5.87,1.63,1.71,65.39,1.82,0.8,71.42,5.46,AZ,Phoenix,Industrial
2464,2020-03-31,0.90645991,36.4081904,13.61908234,2054989426.0,4.751758,0.17524349,11.0,22.0,123.25,1.96,2.78,71281.07,11.83,87.75,0.4,62.5,48627.22,130113.57,37.89,5.87,1.63,1.71,65.39,1.82,0.8,71.42,6.18,AZ,Phoenix,Industrial
2465,2020-04-30,0.9090338,36.4081904,13.61908234,2054989426.0,4.751758,0.15230671,11.0,22.0,123.25,1.96,2.78,71281.07,11.83,87.75,0.4,62.5,48627.22,130113.57,37.89,5.87,1.63,1.71,65.39,1.82,0.8,71.42,14.92,AZ,Phoenix,Industrial
2466,2020-05-31,0.9090338,36.4081904,13.61908234,2054989426.0,4.751758,0.00311856,11.0,22.0,123.25,1.96,2.78,71281.07,11.83,87.75,0.4,62.5,48627.22,130113.57,37.89,5.87,1.63,1.71,65.39,1.82,0.8,71.42,10.95,AZ,Phoenix,Industrial
2467,2020-06-30,0.9090338,36.4081904,13.61908234,2054989426.0,4.751758,0.00311856,11.0,22.0,123.25,1.96,2.78,71281.07,11.83,87.75,0.4,62.5,48627.22,130113.57,37.89,5.87,1.63,1.71,65.39,1.82,0.8,71.42,11.87,AZ,Phoenix,Industrial
2468,2020-07-31,0.90900917,36.4081904,13.61908234,2054989426.0,4.751758,0.00311856,11.0,22.0,123.25,1.96,2.78,71281.07,11.83,87.75,0.4,62.5,48627.22,130113.57,37.89,5.87,1.63,1.71,65.39,1.82,0.8,71.42,13.01,AZ,Phoenix,Industrial
2469,2020-08-31,0.90900247,36.58032153,13.61908234,2054989426.0,4.751758,0.04260455,12.0,42.0,123.25,1.96,2.78,71281.07,11.83,87.75,0.4,62.5,48627.22,130113.57,37.89,5.87,1.63,1.71,65.39,1.82,0.8,71.42,12.29,AZ,Phoenix,Industrial
2470,2020-09-30,0.90900247,36.58032153,13.61908234,2054989426.0,4.751758,0.07819418,12.0,42.0,123.25,1.96,2.78,71281.07,11.83,87.75,0.4,62.5,48627.22,130113.57,37.89,5.87,1.63,1.71,65.39,1.82,0.8,71.42,13.06,AZ,Phoenix,Industrial
2471,2020-10-31,0.90900247,36.58032153,13.61908234,2054989426.0,4.751758,0.07819418,12.0,42.0,123.25,1.96,2.78,71281.07,11.83,87.75,0.4,62.5,48627.22,130113.57,37.89,5.87,1.63,1.71,65.39,1.82,0.8,71.42,13.63,AZ,Phoenix,Industrial
2472,2020-11-30,0.90900247,36.58032153,13.61908234,2054989426.0,4.751758,0.07819418,12.0,42.0,123.25,1.96,2.78,71281.07,11.83,87.75,0.4,62.5,48627.22,130113.57,37.89,5.87,1.63,1.71,65.39,1.82,0.8,71.42,13.02,AZ,Phoenix,Industrial
2473,2020-12-31,0.90900247,36.58032153,13.61908234,2054989426.0,4.751758,0.07819418,12.0,42.0,123.25,1.96,2.78,71281.07,11.83,87.75,0.4,62.5,48627.22,130113.57,37.89,5.87,1.63,1.71,65.39,1.82,0.8,71.42,13.34,AZ,Phoenix,Industrial
2474,2021-01-31,0.909,36.58032153,13.61908234,2054989426.0,4.751758,0.120857,12.0,42.0,129.52,5.08,2.75,75731.0,11.7,87.89,0.4,62.38,51081.88,133255.83,38.05,5.89,1.43,1.5,65.73,1.6,6.73,-37.5,13.1,AZ,Phoenix,Industrial
2475,2021-02-28,0.91060551,37.18492421,14.67254292,2203287632.0,5.81581105,0.10485662,6.0,24.0,129.52,5.08,2.75,75731.0,11.7,87.89,0.4,62.38,51081.88,133255.83,38.05,5.89,1.43,1.5,65.73,1.6,6.73,-37.5,13.42,AZ,Phoenix,Industrial
2476,2021-03-31,0.91060551,37.18492421,14.67254292,2203287632.0,5.81581105,0.10485662,6.0,24.0,129.52,5.08,2.75,75731.0,11.7,87.89,0.4,62.38,51081.88,133255.83,38.05,5.89,1.43,1.5,65.73,1.6,6.73,-37.5,14.21,AZ,Phoenix,Industrial
2477,2021-04-30,0.91799343,37.18492421,14.67254292,2203287632.0,5.81581105,0.11038427,6.0,24.0,129.52,5.08,2.75,75731.0,11.7,87.89,0.4,62.38,51081.88,133255.83,38.05,5.89,1.43,1.5,65.73,1.6,6.73,-37.5,13.27,AZ,Phoenix,Industrial
2478,2021-05-31,0.91799343,37.18492421,14.67254292,2203287632.0,5.81581105,0.11038427,6.0,24.0,129.52,5.08,2.75,75731.0,11.7,87.89,0.4,62.38,51081.88,133255.83,38.05,5.89,1.43,1.5,65.73,1.6,6.73,-37.5,13.03,AZ,Phoenix,Industrial
2479,2021-06-30,0.91799343,37.18492421,14.67254292,2203287632.0,5.81581105,0.11038427,6.0,24.0,129.52,5.08,2.75,75731.0,11.7,87.89,0.4,62.38,51081.88,133255.83,38.05,5.89,1.43,1.5,65.73,1.6,6.73,-37.5,13.81,AZ,Phoenix,Industrial
2480,2021-07-31,0.919,37.18492421,14.67254292,2203287632.0,5.81581105,0.32298834,6.0,24.0,129.52,5.08,2.75,75731.0,11.7,87.89,0.4,62.38,51081.88,133255.83,38.05,5.89,1.43,1.5,65.73,1.6,6.73,-37.5,13.85,AZ,Phoenix,Industrial
2481,2021-08-31,0.919,37.18492421,14.67254292,2203287632.0,5.81581105,0.32154284,6.0,24.0,129.52,5.08,2.75,75731.0,11.7,87.89,0.4,62.38,51081.88,133255.83,38.05,5.89,1.43,1.5,65.73,1.6,6.73,-37.5,15.95,AZ,Phoenix,Industrial
2482,2021-09-30,0.919,37.18492421,14.67254292,2203287632.0,5.81581105,0.32154284,6.0,24.0,129.52,5.08,2.75,75731.0,11.7,87.89,0.4,62.38,51081.88,133255.83,38.05,5.89,1.43,1.5,65.73,1.6,6.73,-37.5,14.81,AZ,Phoenix,Industrial
2483,2021-10-31,0.923,37.18492421,14.67254292,2203287632.0,5.81581105,0.47945121,6.0,24.0,129.52,5.08,2.75,75731.0,11.7,87.89,0.4,62.38,51081.88,133255.83,38.05,5.89,1.43,1.5,65.73,1.6,6.73,-37.5,16.0,AZ,Phoenix,Industrial
2484,2021-11-30,0.923,37.18492421,14.67254292,2203287632.0,5.81581105,0.47945121,6.0,24.0,129.52,5.08,2.75,75731.0,11.7,87.89,0.4,62.38,51081.88,133255.83,38.05,5.89,1.43,1.5,65.73,1.6,6.73,-37.5,15.51,AZ,Phoenix,Industrial
2485,2021-12-31,0.923,37.18492421,14.67254292,2203287632.0,5.81581105,0.47945121,6.0,24.0,129.52,5.08,2.75,75731.0,11.7,87.89,0.4,62.38,51081.88,133255.83,38.05,5.89,1.43,1.5,65.73,1.6,6.73,-37.5,14.1,AZ,Phoenix,Industrial
2486,2022-01-31,0.924,37.19163576,14.67254292,2203287632.0,5.81581105,0.48254628,6.0,24.0,140.36,8.36,2.75,78246.5,11.58,88.01,0.39,62.6,51807.37,132869.85,38.19,5.9,1.23,1.3,66.01,1.39,2.83,-31.29,18.2,AZ,Phoenix,Industrial
2487,2022-02-28,0.94527799,37.37460864,14.63533675,2333089408.0,5.75139294,0.4936597,6.0,32.0,140.36,8.36,2.75,78246.5,11.58,88.01,0.39,62.6,51807.37,132869.85,38.19,5.9,1.23,1.3,66.01,1.39,2.83,-31.29,18.05,AZ,Phoenix,Industrial
2488,2022-03-31,0.94527799,37.37460864,14.63533675,2333089408.0,5.75139294,0.4936597,6.0,32.0,140.36,8.36,2.75,78246.5,11.58,88.01,0.39,62.6,51807.37,132869.85,38.19,5.9,1.23,1.3,66.01,1.39,2.83,-31.29,15.72,AZ,Phoenix,Industrial
2489,2022-04-30,0.953,37.37460864,14.63533675,2333089408.0,5.75139294,0.3773424,6.0,32.0,140.36,8.36,2.75,78246.5,11.58,88.01,0.39,62.6,51807.37,132869.85,38.19,5.9,1.23,1.3,66.01,1.39,2.83,-31.29,19.28,AZ,Phoenix,Industrial
2490,2022-05-31,0.953,37.37460864,14.63533675,2333089408.0,5.75139294,0.3773424,6.0,32.0,140.36,8.36,2.75,78246.5,11.58,88.01,0.39,62.6,51807.37,132869.85,38.19,5.9,1.23,1.3,66.01,1.39,2.83,-31.29,19.51,AZ,Phoenix,Industrial
2491,2022-06-30,0.953,37.37460864,14.63533675,2333089408.0,5.75139294,0.3773424,6.0,32.0,140.36,8.36,2.75,78246.5,11.58,88.01,0.39,62.6,51807.37,132869.85,38.19,5.9,1.23,1.3,66.01,1.39,2.83,-31.29,20.3,AZ,Phoenix,Industrial
2492,2022-07-31,0.956,37.37460864,14.63533675,2333089408.0,5.75139294,0.22308736,6.0,32.0,140.36,8.36,2.75,78246.5,11.58,88.01,0.39,62.6,51807.37,132869.85,38.19,5.9,1.23,1.3,66.01,1.39,2.83,-31.29,19.23,AZ,Phoenix,Industrial
2493,2022-08-31,0.956,37.37460864,14.63533675,2333089408.0,5.75139294,0.15857032,6.0,28.0,140.36,8.36,2.75,78246.5,11.58,88.01,0.39,62.6,51807.37,132869.85,38.19,5.9,1.23,1.3,66.01,1.39,2.83,-31.29,17.06,AZ,Phoenix,Industrial
2494,2022-09-30,0.957,37.37460864,14.63533675,2333089408.0,5.75139294,-0.05074588,6.0,28.0,140.36,8.36,2.75,78246.5,11.58,88.01,0.39,62.6,51807.37,132869.85,38.19,5.9,1.23,1.3,66.01,1.39,2.83,-31.29,18.18,AZ,Phoenix,Industrial
2495,2022-10-31,0.957,37.37460864,14.63533675,2333089408.0,5.75139294,-0.05074588,6.0,28.0,140.36,8.36,2.75,78246.5,11.58,88.01,0.39,62.6,51807.37,132869.85,38.19,5.9,1.23,1.3,66.01,1.39,2.83,-31.29,20.95,AZ,Phoenix,Industrial
2496,2022-11-30,0.957,37.37460864,14.63533675,2333089408.0,5.75139294,-0.20305382,6.0,28.0,140.36,8.36,2.75,78246.5,11.58,88.01,0.39,62.6,51807.37,132869.85,38.19,5.9,1.23,1.3,66.01,1.39,2.83,-31.29,18.6,AZ,Phoenix,Industrial
2497,2022-12-31,0.957,37.37460864,14.63533675,2333089408.0,5.75139294,-0.20305382,6.0,28.0,140.36,8.36,2.75,78246.5,11.58,88.01,0.39,62.6,51807.37,132869.85,38.19,5.9,1.23,1.3,66.01,1.39,2.83,-31.29,18.02,AZ,Phoenix,Industrial
2498,2023-01-31,0.953,37.68749877,14.63533675,2333089408.0,5.75139294,-0.17045041,6.0,28.0,146.77,4.56,2.75,80675.71,11.47,88.13,0.39,62.84,52691.89,135642.34,38.31,5.91,1.09,1.15,66.25,1.23,2.96,19.83,17.65,AZ,Phoenix,Industrial
2499,2023-02-28,0.98354956,37.68749877,14.59744021,1969789848.0,5.66807938,-0.18457847,10.0,33.0,146.77,4.56,2.75,80675.71,11.47,88.13,0.39,62.84,52691.89,135642.34,38.31,5.91,1.09,1.15,66.25,1.23,2.96,19.83,17.93,AZ,Phoenix,Industrial
2500,2023-03-31,0.98354956,37.68749877,14.59744021,1969789848.0,5.66807938,-0.18457847,10.0,33.0,146.77,4.56,2.75,80675.71,11.47,88.13,0.39,62.84,52691.89,135642.34,38.31,5.91,1.09,1.15,66.25,1.23,2.96,19.83,15.8,AZ,Phoenix,Industrial
2501,2023-04-30,0.9615,37.68749877,14.59744021,1969789848.0,5.66807938,-0.19920222,10.0,33.0,146.77,4.56,2.75,80675.71,11.47,88.13,0.39,62.84,52691.89,135642.34,38.31,5.91,1.09,1.15,66.25,1.23,2.96,19.83,15.73,AZ,Phoenix,Industrial
2502,2023-05-31,0.9615,37.68749877,14.59744021,1969789848.0,5.66807938,-0.19920222,10.0,33.0,146.77,4.56,2.75,80675.71,11.47,88.13,0.39,62.84,52691.89,135642.34,38.31,5.91,1.09,1.15,66.25,1.23,2.96,19.83,14.71,AZ,Phoenix,Industrial
2503,2023-06-30,0.9615,37.69159948,14.59744021,1969789848.0,5.66807938,-0.09725457,10.0,33.0,146.77,4.56,2.75,80675.71,11.47,88.13,0.39,62.84,52691.89,135642.34,38.31,5.91,1.09,1.15,66.25,1.23,2.96,19.83,14.98,AZ,Phoenix,Industrial
2504,2023-07-31,0.9615,37.69159948,14.59744021,1969789848.0,5.66807938,-0.06933461,10.0,33.0,146.77,4.56,2.75,80675.71,11.47,88.13,0.39,62.84,52691.89,135642.34,38.31,5.91,1.09,1.15,66.25,1.23,2.96,19.83,13.75,AZ,Phoenix,Industrial
2505,2023-08-31,0.9615,37.69159948,14.59744021,1969789848.0,5.66807938,0.01143441,2.0,30.0,146.77,4.56,2.75,80675.71,11.47,88.13,0.39,62.84,52691.89,135642.34,38.31,5.91,1.09,1.15,66.25,1.23,2.96,19.83,14.35,AZ,Phoenix,Industrial
2506,2019-01-31,0.87320924,37.21567907,21.74298018,588594587.0,1.82285108,0.03628002,45.0,29.0,115.93,1.82,2.56,70215.0,12.33,87.52,0.14,65.21,55994.66,136782.85,37.16,4.48,0.46,0.4,66.16,0.74,2.57,-6.06,3.82,KS,Kansas City,Office
2507,2019-02-28,0.87570924,37.21567907,21.74298018,588594587.0,1.82285108,0.03628002,45.0,30.0,115.93,1.82,2.56,70215.0,12.33,87.52,0.14,65.21,55994.66,136782.85,37.16,4.48,0.46,0.4,66.16,0.74,2.57,-6.06,3.16,KS,Kansas City,Office
2508,2019-03-31,0.87570924,37.21567907,21.72544456,588594587.0,1.82202815,0.03628002,45.0,30.0,115.93,1.82,2.56,70215.0,12.33,87.52,0.14,65.21,55994.66,136782.85,37.16,4.48,0.46,0.4,66.16,0.74,2.57,-6.06,3.31,KS,Kansas City,Office
2509,2019-04-30,0.87570924,37.21567907,21.72544456,588594587.0,1.82202815,0.03553253,45.0,30.0,115.93,1.82,2.56,70215.0,12.33,87.52,0.14,65.21,55994.66,136782.85,37.16,4.48,0.46,0.4,66.16,0.74,2.57,-6.06,3.0,KS,Kansas City,Office
2510,2019-05-31,0.87570924,37.21567907,21.72544456,588594587.0,1.82202815,0.03553253,45.0,30.0,115.93,1.82,2.56,70215.0,12.33,87.52,0.14,65.21,55994.66,136782.85,37.16,4.48,0.46,0.4,66.16,0.74,2.57,-6.06,2.23,KS,Kansas City,Office
2511,2019-06-30,0.87570924,37.21567907,21.72544456,588594587.0,1.82202815,0.03369105,45.0,30.0,115.93,1.82,2.56,70215.0,12.33,87.52,0.14,65.21,55994.66,136782.85,37.16,4.48,0.46,0.4,66.16,0.74,2.57,-6.06,2.74,KS,Kansas City,Office
2512,2019-07-31,0.87570924,37.21567907,21.72544456,588594587.0,1.82202815,0.03369105,45.0,30.0,115.93,1.82,2.56,70215.0,12.33,87.52,0.14,65.21,55994.66,136782.85,37.16,4.48,0.46,0.4,66.16,0.74,2.57,-6.06,2.32,KS,Kansas City,Office
2513,2019-08-31,0.89808023,37.37975775,21.99282026,675429720.0,1.99809024,0.03330609,34.0,27.0,115.93,1.82,2.56,70215.0,12.33,87.52,0.14,65.21,55994.66,136782.85,37.16,4.48,0.46,0.4,66.16,0.74,2.57,-6.06,3.16,KS,Kansas City,Office
2514,2019-09-30,0.89808023,37.37975775,21.99282026,675429720.0,1.99809024,0.03330609,34.0,27.0,115.93,1.82,2.56,70215.0,12.33,87.52,0.14,65.21,55994.66,136782.85,37.16,4.48,0.46,0.4,66.16,0.74,2.57,-6.06,3.56,KS,Kansas City,Office
2515,2019-10-31,0.89783495,37.37975775,21.99282026,675429720.0,1.99809024,0.03142881,34.0,27.0,115.93,1.82,2.56,70215.0,12.33,87.52,0.14,65.21,55994.66,136782.85,37.16,4.48,0.46,0.4,66.16,0.74,2.57,-6.06,4.56,KS,Kansas City,Office
2516,2019-11-30,0.89783495,37.37975775,21.99282026,675429720.0,1.99809024,0.03142881,34.0,27.0,115.93,1.82,2.56,70215.0,12.33,87.52,0.14,65.21,55994.66,136782.85,37.16,4.48,0.46,0.4,66.16,0.74,2.57,-6.06,4.41,KS,Kansas City,Office
2517,2019-12-31,0.89783495,37.37975775,21.99282026,675429720.0,1.99809024,0.03142881,34.0,27.0,115.93,1.82,2.56,70215.0,12.33,87.52,0.14,65.21,55994.66,136782.85,37.16,4.48,0.46,0.4,66.16,0.74,2.57,-6.06,3.25,KS,Kansas City,Office
2518,2020-01-31,0.89783495,37.37975775,21.99282026,675429720.0,1.99809024,0.03078528,34.0,27.0,117.36,1.23,2.53,72963.23,12.27,87.58,0.14,64.64,54603.78,139251.09,37.6,4.53,0.34,0.29,66.43,0.6,-1.89,96.77,3.78,KS,Kansas City,Office
2519,2020-02-29,0.89897552,37.37975775,21.99282026,675429720.0,1.99809024,0.02971343,34.0,27.0,117.36,1.23,2.53,72963.23,12.27,87.58,0.14,64.64,54603.78,139251.09,37.6,4.53,0.34,0.29,66.43,0.6,-1.89,96.77,5.15,KS,Kansas City,Office
2520,2020-03-31,0.89897552,37.37975775,21.99282026,675429720.0,1.99809024,0.02971343,34.0,27.0,117.36,1.23,2.53,72963.23,12.27,87.58,0.14,64.64,54603.78,139251.09,37.6,4.53,0.34,0.29,66.43,0.6,-1.89,96.77,5.73,KS,Kansas City,Office
2521,2020-04-30,0.89681201,37.37975775,21.99282026,675429720.0,1.99809024,0.02612994,34.0,27.0,117.36,1.23,2.53,72963.23,12.27,87.58,0.14,64.64,54603.78,139251.09,37.6,4.53,0.34,0.29,66.43,0.6,-1.89,96.77,6.44,KS,Kansas City,Office
2522,2020-05-31,0.89681201,37.37975775,21.99282026,675429720.0,1.99809024,-0.05157241,34.0,27.0,117.36,1.23,2.53,72963.23,12.27,87.58,0.14,64.64,54603.78,139251.09,37.6,4.53,0.34,0.29,66.43,0.6,-1.89,96.77,6.78,KS,Kansas City,Office
2523,2020-06-30,0.89681201,37.37975775,21.99282026,675429720.0,1.99809024,-0.05157241,34.0,27.0,117.36,1.23,2.53,72963.23,12.27,87.58,0.14,64.64,54603.78,139251.09,37.6,4.53,0.34,0.29,66.43,0.6,-1.89,96.77,5.48,KS,Kansas City,Office
2524,2020-07-31,0.89675887,37.37975775,21.99282026,675429720.0,1.99809024,-0.04574459,34.0,27.0,117.36,1.23,2.53,72963.23,12.27,87.58,0.14,64.64,54603.78,139251.09,37.6,4.53,0.34,0.29,66.43,0.6,-1.89,96.77,6.62,KS,Kansas City,Office
2525,2020-08-31,0.89676081,37.4074938,21.99282026,675429720.0,1.99809024,-0.04578611,48.0,5.0,117.36,1.23,2.53,72963.23,12.27,87.58,0.14,64.64,54603.78,139251.09,37.6,4.53,0.34,0.29,66.43,0.6,-1.89,96.77,8.25,KS,Kansas City,Office
2526,2020-09-30,0.89676081,37.4074938,21.99282026,675429720.0,1.99809024,-0.04805146,48.0,5.0,117.36,1.23,2.53,72963.23,12.27,87.58,0.14,64.64,54603.78,139251.09,37.6,4.53,0.34,0.29,66.43,0.6,-1.89,96.77,6.13,KS,Kansas City,Office
2527,2020-10-31,0.89676081,37.4074938,21.99282026,675429720.0,1.99809024,-0.04805146,48.0,5.0,117.36,1.23,2.53,72963.23,12.27,87.58,0.14,64.64,54603.78,139251.09,37.6,4.53,0.34,0.29,66.43,0.6,-1.89,96.77,9.06,KS,Kansas City,Office
2528,2020-11-30,0.89676081,37.4074938,21.99282026,675429720.0,1.99809024,-0.04805146,48.0,5.0,117.36,1.23,2.53,72963.23,12.27,87.58,0.14,64.64,54603.78,139251.09,37.6,4.53,0.34,0.29,66.43,0.6,-1.89,96.77,9.35,KS,Kansas City,Office
2529,2020-12-31,0.89676081,37.4074938,21.99282026,675429720.0,1.99809024,-0.04805146,48.0,5.0,117.36,1.23,2.53,72963.23,12.27,87.58,0.14,64.64,54603.78,139251.09,37.6,4.53,0.34,0.29,66.43,0.6,-1.89,96.77,8.51,KS,Kansas City,Office
2530,2021-01-31,0.897,37.4074938,21.99282026,675429720.0,1.99809024,-0.05366871,48.0,5.0,122.86,4.68,2.46,73900.0,12.21,87.64,0.14,64.67,57577.97,144228.37,37.88,4.55,0.04,-0.01,66.66,0.26,5.73,-31.14,6.2,KS,Kansas City,Office
2531,2021-02-28,0.86942588,37.4074938,21.99282026,675429720.0,1.99809024,-0.02502665,47.0,8.0,122.86,4.68,2.46,73900.0,12.21,87.64,0.14,64.67,57577.97,144228.37,37.88,4.55,0.04,-0.01,66.66,0.26,5.73,-31.14,8.05,KS,Kansas City,Office
2532,2021-03-31,0.86942588,37.4074938,21.99282026,675429720.0,1.99809024,-0.02502665,47.0,8.0,122.86,4.68,2.46,73900.0,12.21,87.64,0.14,64.67,57577.97,144228.37,37.88,4.55,0.04,-0.01,66.66,0.26,5.73,-31.14,7.22,KS,Kansas City,Office
2533,2021-04-30,0.873,37.4074938,21.99282026,675429720.0,1.99809024,-0.01215791,47.0,8.0,122.86,4.68,2.46,73900.0,12.21,87.64,0.14,64.67,57577.97,144228.37,37.88,4.55,0.04,-0.01,66.66,0.26,5.73,-31.14,7.59,KS,Kansas City,Office
